episode,episode_title,scene,timecode,duration_sec,shot_type,location,character_action,vo_line_id,on_screen_text,vfx,sfx,camera_notes,prompt_snippet
E03,Kenapa Pelangi Muncul,8,1:18-1:30,12,MS,Brand backdrop,Recap + CTA,E03_VO_08,"CAHAYA + HUJAN = PELANGI / SUBSCRIBE",icons + confetti,bell ding,static,"Robi with icons (sun / raindrop / rainbow), thumbs up, subscribe"
E04,Kenapa Kita Harus Tidur,1,0:00-0:05,5,MS,Bedroom,Robi yawns, rubs eye,E04_VO_01,,sleepy Zs,yawn,static,"Robi in cozy bedroom, yawning, rubbing eye, moon through window"
E04,Kenapa Kita Harus Tidur,2,0:05-0:12,7,MS,Bedroom,Tilts head at bed, question mark,E04_VO_02,KENAPA HARUS BOBO?,? sparkle,boing,static,"Question mark above Robi near bed, curious"
E04,Kenapa Kita Harus Tidur,3,0:12-0:20,8,CU,Bedroom,Lightbulb,,AYO CARI TAHU!,lightbulb,ding,push-in,"Lightbulb moment"
E04,Kenapa Kita Harus Tidur,4,0:20-0:30,10,CU,Transforming,Robi shrinks and enters his own head,E04_VO_04,ZWOOP!,shrink glow,zwoop,dolly,"Robi shrinks, cartoon portal into his head appears"
E04,Kenapa Kita Harus Tidur,5,0:30-0:45,15,WS,Brain interior,Tiny cleaner bots sweep dust out of a glowing brain,E04_VO_05,,neon dust particles,sweeping + chimes,tracking,"Stylized cartoon brain hallway, cute cleaner-bot characters with brooms sweeping glowing dust during sleep"
E04,Kenapa Kita Harus Tidur,6,0:45-1:05,20,MS,Brain interior,When awake the mess piles up; when asleep cleaners finish,E04_VO_06,TIDUR = BERSIH-BERSIH OTAK!,before/after split,magical broom,side-view split,"Split frame before/after, messy vs clean brain, chunky yellow text"
E04,Kenapa Kita Harus Tidur,7,1:05-1:18,13,MS,Bedroom,Robi climbs into bed smiling,E04_VO_07,,dream sparkles,soft lullaby chime,push-in,"Robi tucks into bed, content, dream bubbles"
E04,Kenapa Kita Harus Tidur,8,1:18-1:30,12,MS,Brand backdrop,Recap + CTA,E04_VO_08,"TIDUR=SEHAT / OTAK BERSIH / SUBSCRIBE",icons,bell ding,static,"Robi with icons (moon / brain / zzz), thumbs up"
E05,Kenapa Gigi Harus Disikat,1,0:00-0:05,5,MS,Bathroom,Robi looks in mirror at shiny teeth,E05_VO_01,,shine ping,sparkle,push-in,"Robi in bathroom, mirror shot, big smile showing shiny white teeth"
E05,Kenapa Gigi Harus Disikat,2,0:05-0:12,7,MS,Bathroom,Tilts head at toothbrush, ?,E05_VO_02,KENAPA HARUS SIKAT?,? sparkle,boing,static,"Robi holds toothbrush, curious question mark"
E05,Kenapa Gigi Harus Disikat,3,0:12-0:20,8,CU,Bathroom,Lightbulb,,AYO CARI TAHU!,lightbulb,ding,push-in,"Lightbulb moment"
E05,Kenapa Gigi Harus Disikat,4,0:20-0:30,10,CU,Transforming,Shrinks onto a tooth,E05_VO_04,ZWOOP!,shrink,zwoop,dolly,"Robi shrinks onto a giant glossy tooth surface"
E05,Kenapa Gigi Harus Disikat,5,0:30-0:45,15,WS,Tooth surface,Cute purple sugar monsters munching the tooth,E05_VO_05,,neon goo,chomping sfx,tracking,"Cartoon sugar-monster characters (purple fluff) chomp on tooth enamel leaving holes, child-friendly not scary"
E05,Kenapa Gigi Harus Disikat,6,0:45-1:05,20,MS,Tooth surface,Giant toothbrush sweeps monsters away with bubbles,E05_VO_06,SIKAT = USIR MONSTER GULA!,bubble burst,whoosh + squeak,side-view,"Giant cartoon toothbrush with foam bubbles sweeps sugar monsters off, chunky yellow text"
E05,Kenapa Gigi Harus Disikat,7,1:05-1:18,13,MS,Bathroom,Robi returns, bigger smile,E05_VO_07,,shine,sparkle,push-in,"Robi smiles wider in mirror, super-sparkle teeth"
E05,Kenapa Gigi Harus Disikat,8,1:18-1:30,12,MS,Brand backdrop,Recap + CTA,E05_VO_08,"SIKAT PAGI-MALAM / GIGI SEHAT / SUBSCRIBE",icons,bell ding,static,"Robi with icons (brush / tooth / bubble), thumbs up"
E06,Kenapa Magnet Lengket,1,0:00-0:05,5,MS,Playroom,Robi watches magnet snap to fridge,E06_VO_01,,impact spark,clink,push-in,"Robi in playroom, red-blue magnet snaps to fridge with a clink"
E06,Kenapa Magnet Lengket,2,0:05-0:12,7,MS,Playroom,Tilts head, ?,E06_VO_02,KOK BISA LENGKET?,? sparkle,boing,static,"Curious Robi holds magnet, question mark"
E06,Kenapa Magnet Lengket,3,0:12-0:20,8,CU,Playroom,Lightbulb,,AYO CARI TAHU!,lightbulb,ding,push-in,"Lightbulb moment"
E06,Kenapa Magnet Lengket,4,0:20-0:30,10,CU,Transforming,Shrinks into atom scale,E06_VO_04,ZWOOP!,shrink,zwoop,dolly,"Robi shrinks down toward atomic scale, micro-zoom"
E06,Kenapa Magnet Lengket,5,0:30-0:45,15,WS,Atom world,Invisible arrows align inside magnet,E06_VO_05,,glowing arrows,hum,orbit,"Inside a magnet, cartoon atoms with tiny glowing blue arrows all pointing the same way, vs iron where arrows align too"
E06,Kenapa Magnet Lengket,6,0:45-1:05,20,MS,Atom world,Aligned arrows pull two pieces together,E06_VO_06,ARAH SAMA = TARIK!,arrow pulse,snap,side-view,"Two groups of arrows lock direction and pull each other, chunky yellow text"
E06,Kenapa Magnet Lengket,7,1:05-1:18,13,MS,Playroom,Robi sticks magnets together, grins,E06_VO_07,,sparkle,click,push-in,"Robi plays with magnets snapping together happily"
E06,Kenapa Magnet Lengket,8,1:18-1:30,12,MS,Brand backdrop,Recap + CTA,E06_VO_08,"MAGNET=ARAH / TARIK BESI / SUBSCRIBE",icons,bell ding,static,"Robi with icons (magnet / arrow / fridge), thumbs up"
E07,Kenapa Pohon Hijau,1,0:00-0:05,5,MS,Forest path,Robi touches a glossy green leaf,E07_VO_01,,leaf rustle sparkle,rustle,push-in,"Robi on forest path, touches shiny green leaf, curious"
E07,Kenapa Pohon Hijau,2,0:05-0:12,7,MS,Forest path,Tilts head, ?,E07_VO_02,KENAPA DAUN HIJAU?,? sparkle,boing,static,"Question mark, curious Robi"
E07,Kenapa Pohon Hijau,3,0:12-0:20,8,CU,Forest,Lightbulb,,AYO CARI TAHU!,lightbulb,ding,push-in,"Lightbulb moment"
E07,Kenapa Pohon Hijau,4,0:20-0:30,10,CU,Transforming,Shrinks onto a leaf,E07_VO_04,ZWOOP!,shrink,zwoop,dolly,"Robi shrinks onto a vibrant leaf surface"
E07,Kenapa Pohon Hijau,5,0:30-0:45,15,WS,Chloroplast factory,Cute green chloroplast factories turn sunlight + CO2 into sugar,E07_VO_05,,green glow + floating sugar cubes,factory hums,orbit,"Inside leaf, stylized green chloroplast cartoon factories with conveyor belts turning sunbeams and CO2 into sugar cubes and oxygen bubbles"
E07,Kenapa Pohon Hijau,6,0:45-1:05,20,MS,Chloroplast factory,Green pigment reflects green light,E07_VO_06,KLOROFIL = PANTUL HIJAU!,green light bounce,reflect chime,side-view,"Sunlight hits chloroplast, red-blue absorbed, green bounced back, chunky yellow text"
E07,Kenapa Pohon Hijau,7,1:05-1:18,13,MS,Forest,Robi high-fives the tree,E07_VO_07,,leaf sparkle,warm chime,push-in,"Robi high-fives tree trunk, leaves shimmer"
E07,Kenapa Pohon Hijau,8,1:18-1:30,12,MS,Brand backdrop,Recap + CTA,E07_VO_08,"KLOROFIL / PANTUL HIJAU / SUBSCRIBE",icons,bell ding,static,"Robi with icons (sun / leaf / O2 bubble), thumbs up"
E08,Kenapa Ada Siang dan Malam,1,0:00-0:05,5,MS,Bedroom window,Robi looks out at setting sun,E08_VO_01,,sunset glow,evening birds,dolly,"Robi at window, sunset orange sky, curious"
E08,Kenapa Ada Siang dan Malam,2,0:05-0:12,7,MS,Bedroom,Tilts head, ?,E08_VO_02,KEMANA MATAHARINYA?,? sparkle,boing,static,"Question mark"
E08,Kenapa Ada Siang dan Malam,3,0:12-0:20,8,CU,Bedroom,Lightbulb,,AYO CARI TAHU!,lightbulb,ding,push-in,"Lightbulb moment"
E08,Kenapa Ada Siang dan Malam,4,0:20-0:30,10,CU,Transforming,Zooms into space,E08_VO_04,BLAST OFF!,rocket trail,whoosh,dolly up,"Robi launches upward with rocket backpack into space"
E08,Kenapa Ada Siang dan Malam,5,0:30-0:45,15,WS,Space,Spinning stylized Earth globe with sun on one side,E08_VO_05,,starfield + orbit lines,cosmic hum,orbit,"Stylized cute Earth globe spinning, sun on left, half lit half dark, tiny house icon rotating into shadow"
E08,Kenapa Ada Siang dan Malam,6,0:45-1:05,20,MS,Space,Shows rotation causing day/night,E08_VO_06,BUMI = BERPUTAR!,day/night sweep,swoosh,side-view,"Earth spins one full rotation, tiny house icon goes from day to night, chunky yellow text"
E08,Kenapa Ada Siang dan Malam,7,1:05-1:18,13,MS,Bedroom,Robi back at window, moon rises,E08_VO_07,,moonlight sparkle,cricket chirp,push-in,"Robi watches moon rise, content wink"
E08,Kenapa Ada Siang dan Malam,8,1:18-1:30,12,MS,Brand backdrop,Recap + CTA,E08_VO_08,"BUMI BERPUTAR / SIANG-MALAM / SUBSCRIBE",icons,bell ding,static,"Robi with icons (sun / earth / moon), thumbs up"
E09,Kenapa Air Laut Asin,1,0:00-0:05,5,MS,Beach,Robi tastes seawater and puckers,E09_VO_01,,splash droplets,splash + bleh,push-in,"Robi at beach, tastes water from cupped glove, puckers face"
E09,Kenapa Air Laut Asin,2,0:05-0:12,7,MS,Beach,Tilts head, ?,E09_VO_02,KENAPA ASIN?,? sparkle,boing,static,"Question mark"
E09,Kenapa Air Laut Asin,3,0:12-0:20,8,CU,Beach,Lightbulb,,AYO CARI TAHU!,lightbulb,ding,push-in,"Lightbulb moment"
E09,Kenapa Air Laut Asin,4,0:20-0:30,10,CU,Transforming,Hops into time machine sub,E09_VO_04,WAKTU MUNDUR!,time ripple,warp,dolly,"Robi enters cute yellow time-machine submarine"
E09,Kenapa Air Laut Asin,5,0:30-0:45,15,WS,Rivers + rocks,Cute river characters carry salt crystals from rocks to the sea,E09_VO_05,,salt crystal sparkle,flowing water,tracking,"Cartoon rivers flowing over glittering rocks, cute salt-crystal characters hitchhike down to the ocean"
E09,Kenapa Air Laut Asin,6,0:45-1:05,20,MS,Ocean,Millions of salt crystals pile up in the sea over time,E09_VO_06,SUNGAI BAWA GARAM = LAUT ASIN!,crystal pile counter,bubble pop,side-view,"Ocean fills with stylized salt characters over a time-lapse, chunky yellow text"
E09,Kenapa Air Laut Asin,7,1:05-1:18,13,MS,Beach,Robi high-fives a salt character, aha,E09_VO_07,,sparkle,aha chime,push-in,"Robi high-fives cute salt crystal character"
E09,Kenapa Air Laut Asin,8,1:18-1:30,12,MS,Brand backdrop,Recap + CTA,E09_VO_08,"HUJAN / SUNGAI / GARAM / SUBSCRIBE",icons,bell ding,static,"Robi with icons (river / salt / ocean), thumbs up"
E10,Kenapa Kita Bersin,1,0:00-0:05,5,MS,Living room,Robi feels tickle in nose, eyes water,E10_VO_01,,dust motes,sniff,push-in,"Robi in living room, nose twitches, eyes water, ah-ah face"
E10,Kenapa Kita Bersin,2,0:05-0:12,7,MS,Living room,Holds sneeze, ?,E10_VO_02,MAU BERSIN!,? sparkle,boing,static,"Question mark + nervous grin"
E10,Kenapa Kita Bersin,3,0:12-0:20,8,CU,Living room,Lightbulb,,AYO CARI TAHU!,lightbulb,ding,push-in,"Lightbulb moment"
E10,Kenapa Kita Bersin,4,0:20-0:30,10,CU,Transforming,Shrinks into his nose,E10_VO_04,ZWOOP!,shrink,zwoop,dolly,"Robi shrinks and enters his own nose portal"
E10,Kenapa Kita Bersin,5,0:30-0:45,15,WS,Inside nose,Nose-hair guards alarm at dust invader,E10_VO_05,,dust cloud,alarm siren (soft),tracking,"Stylized nose interior with cartoon nose-hair guard characters, friendly dust particle invades, guards alarm"
E10,Kenapa Kita Bersin,6,0:45-1:05,20,MS,Inside nose,Body builds pressure and HATSYI! launches dust out like cannon,E10_VO_06,HATSYI = MERIAM HIDUNG!,pressure gauge + cannon blast,boom + hatsyi,side-view,"Pressure gauge ticks up, cartoon cannon blast, dust flies out, chunky yellow text HATSYI"
E10,Kenapa Kita Bersin,7,1:05-1:18,13,MS,Living room,Robi big HATSYI! then tissue,E10_VO_07,,tissue pop,hatsyi + laugh,push-in,"Robi sneezes into tissue, giggles, wink"
E10,Kenapa Kita Bersin,8,1:18-1:30,12,MS,Brand backdrop,Recap + CTA,E10_VO_08,"DEBU MASUK / TEKANAN / HATSYI! / SUBSCRIBE",icons,bell ding,static,"Robi with icons (dust / gauge / tissue), thumbs up"
